Tweet,Retweet,Reply,Like

"I started from zero.

There was a time when I used to think about quitting everything.

I started self learning.

Joined Twitter and started creating content.

Built over 250K audience in 2.5 years.

Learned and earned a lot.

Gifted a house to my parents.

You can do it too!",328,145,"4,010"

"I started from zero.

There was a time when I used to think about quitting everything.

I started self learning.

Joined Twitter and started creating content.

Built over 250K audience in 2.5 years.

Learned and earned a lot.

Gifted a house to my parents.

You can do it too!",328,145,"4,010"

"I started from zero.

There was a time when I used to think about quitting everything.

I started self learning.

Joined Twitter and started creating content.

Built over 250K audience in 2.5 years.

Learned and earned a lot.

Gifted a house to my parents.

You can do it too!",328,145,"4,010"

"I started from zero.

There was a time when I used to think about quitting everything.

I started self learning.

Joined Twitter and started creating content.

Built over 250K audience in 2.5 years.

Learned and earned a lot.

Gifted a house to my parents.

You can do it too!",328,145,"4,010"

"I started from zero.

There was a time when I used to think about quitting everything.

I started self learning.

Joined Twitter and started creating content.

Built over 250K audience in 2.5 years.

Learned and earned a lot.

Gifted a house to my parents.

You can do it too!",328,145,"4,010"

"I started from zero.

There was a time when I used to think about quitting everything.

I started self learning.

Joined Twitter and started creating content.

Built over 250K audience in 2.5 years.

Learned and earned a lot.

Gifted a house to my parents.

You can do it too!",328,145,"4,010"

"I started from zero.

There was a time when I used to think about quitting everything.

I started self learning.

Joined Twitter and started creating content.

Built over 250K audience in 2.5 years.

Learned and earned a lot.

Gifted a house to my parents.

You can do it too!",328,145,"4,010"

